product_id,product_name,category,cost,price,margin,lead_time_days,reorder_point,safety_stock,supplier_latency
1,Wireless Headphones,Electronics,45,120,62.5,7,60,13,0.5
2,Smart Watch,Electronics,80,200,60.0,10,37,17,0.8
3,Bluetooth Speaker,Electronics,30,80,62.5,5,26,27,0.6
4,USB-C Hub,Electronics,15,45,66.7,4,47,11,0.5
5,Cotton T-Shirt,Fashion,8,25,68.0,6,33,17,1.3
6,Denim Jacket,Fashion,35,90,61.1,8,21,27,0.8
7,Running Shoes,Fashion,40,110,63.6,9,54,23,0.8
8,Leather Belt,Fashion,10,35,71.4,5,57,18,1.7
9,Yoga Mat,Sports,12,35,65.7,4,20,15,1.5
10,Dumbbell Set,Sports,25,65,61.5,7,41,18,0.7
11,Resistance Bands,Sports,8,20,60.0,3,41,13,0.6
12,Protein Powder 1kg,Sports,28,55,49.1,6,26,21,1.8
13,Ceramic Mug Set,Home,10,30,66.7,5,58,18,1.7
14,LED Desk Lamp,Home,18,50,64.0,6,49,27,0.7
15,Throw Pillow Set,Home,14,40,65.0,7,44,12,1.3
16,Plant Pot Trio,Home,12,35,65.7,4,60,29,1.8
